Ativo;Data;Fechamento;Maxima;Minima
ABEV3;28/12/20;15,50;15,70;15,50
ALPA4;28/12/20;41,13;41,39;40,33
ALUP11;28/12/20;26,40;26,65;#N/DISP
ARZZ3;28/12/20;67,46;68,17;0,00
AZUL4;28/12/20;37,70;38,75;0,00
B3SA3;28/12/20;59,99;60,78;59,80
BBAS3;28/12/20;38,92;39,55;39,20
BBDC3;28/12/20;24,85;25,15;24,86
BBDC4;28/12/20;27,72;0,00;0,00
BBSE3;28/12/20;29,13;29,65;29,21
BEEF3;28/12/20;10,37;10,42;10,21
BIDI4;28/12/20;33,27;34,37;32,92
BOVA11;28/12/20;113,14;114,21;#N/DISP
BRAP4;28/12/20;64,71;65,85;65,02
BPAN4;28/12/20;9,96;10,35;9,95
BRDT3;28/12/20;22,10;22,29;21,90
BRFS3;28/12/20;22,39;22,51;22,17
BRKM5;28/12/20;0,00;23,62;23,10
BRML3;28/12/20;0,00;10,19;10,02
BRSR6;28/12/20;0,00;14,22;#N/DISP
BTOW3;28/12/20;0,00;76,39;73,81
CEAB3;28/12/20;0,00;#N/DISP;12,75
CCRO3;28/12/20;0,00;13,63;13,40
CESP6;28/12/20;0,00;29,04;28,64
CMIG3;28/12/20;0,00;16,68;#N/DISP
CMIG4;28/12/20;0,00;14,64;0,00
COGN3;28/12/20;0,00;4,65;0,00
CPFE3;28/12/20;31,86;32,12;0,00
CPLE6;28/12/20;0,00;76,37;#N/DISP
CRFB3;28/12/20;0,00;19,31;19,12
CSAN3;28/12/20;74,11;74,95;0,00
CSMG3;28/12/20;0,00;16,68;#N/DISP
CSNA3;28/12/20;0,00;31,49;30,81
CVCB3;28/12/20;0,00;19,80;#N/DISP
CYRE3;28/12/20;0,00;28,84;0,00
DTEX3;28/12/20;0,00;19,47;#N/DISP
ECOR3;28/12/20;0,00;13,31;#N/DISP
EGIE3;28/12/20;43,66;44,59;#N/DISP
ELET3;28/12/20;36,04;36,79;#N/DISP
ELET6;28/12/20;36,13;36,85;#N/DISP
EMBR3;28/12/20;0,00;8,69;#N/DISP
ENBR3;28/12/20;0,00;#N/DISP;#N/DISP
ENGI11;28/12/20;0,00;50,14;#N/DISP
EQTL3;28/12/20;0,00;22,95;#N/DISP
EZTC3;28/12/20;0,00;42,84;#N/DISP
FLRY3;28/12/20;26,56;26,93;#N/DISP
GFSA3;28/12/20;4,42;4,48;#N/DISP
GGBR4;28/12/20;0,00;24,47;#N/DISP
GOAU4;28/12/20;0,00;11,19;11,04
GOLL4;28/12/20;0,00;#N/DISP;#N/DISP
GRND3;28/12/20;0,00;8,45;#N/DISP
GUAR3;28/12/20;14,66;14,94;#N/DISP
HGTX3;28/12/20;0,00;17,37;#N/DISP
HYPE3;28/12/20;0,00;34,24;#N/DISP
IGTA3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
IRBR3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
ITSA4;#N/DISP;#N/DISP;#N/DISP;#N/DISP
ITUB3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
ITUB4;#N/DISP;#N/DISP;#N/DISP;#N/DISP
JBSS3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
JHSF3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
KLBN11;#N/DISP;#N/DISP;#N/DISP;#N/DISP
KLBN4;#N/DISP;#N/DISP;#N/DISP;#N/DISP
LAME3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
LAME4;#N/DISP;#N/DISP;#N/DISP;#N/DISP
LIGT3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
LINX3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
LOGN3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
LREN3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
MDIA3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
MGLU3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
MRFG3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
MRVE3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
MULT3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
MYPK3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
OIBR3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
ODPV3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
PETR4;#N/DISP;#N/DISP;#N/DISP;#N/DISP
PSSA3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
QUAL3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
RADL3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
RAIL3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
RAPT4;#N/DISP;#N/DISP;#N/DISP;#N/DISP
RENT3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
RLOG3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
SANB11;#N/DISP;#N/DISP;#N/DISP;#N/DISP
SAPR11;#N/DISP;#N/DISP;#N/DISP;#N/DISP
SBSP3;#N/DISP;#N/DISP;#N/DISP;#N/DISP
